Date,Av­er­age views per view­er,Unique view­ers,Im­pres­sions click-through rate (%),Im­pres­sions,Com­ments ad­ded,Shares,Likes (vs. dis­likes) (%),Dis­likes,Sub­scribers lost,Sub­scribers gained,Likes,Av­er­age per­cent­age viewed (%),Videos pub­lished,Videos ad­ded,Sub­scribers,Views,Watch time (hours),Av­er­age view dur­a­tion,Your es­tim­ated rev­en­ue (USD)
02-06-2019,1.4371,14058,8.1,194352,133,45,99.33,8,29,232,1178,35.95,1,1,203,20203,1248.9671,00:03:42,8.26
03-06-2019,1.4406,11906,7.22,185839,54,48,97.67,15,28,206,628,31.41,0,0,178,17152,900.1142,00:03:08,5.755
04-06-2019,1.4804,5373,5.91,103349,40,19,97.23,9,24,141,316,31.26,0,0,117,7954,420.5782,00:03:10,2.479
05-06-2019,1.4517,7884,6.24,136970,126,47,98.32,11,38,176,643,24.03,1,1,138,11445,549.3121,00:02:52,7.714
06-06-2019,1.4895,1898,5.03,38870,17,5,100,0,19,51,98,24.57,0,0,32,2827,132.7672,00:02:49,1.405
07-06-2019,1.6667,564,4.49,14668,3,3,92.31,3,12,31,36,20.44,0,0,19,940,36.8354,00:02:21,0.42
08-06-2019,1.4798,446,4.85,9007,3,1,96.67,1,11,14,29,19.59,0,0,3,660,26.0859,00:02:22,0.379
09-06-2019,1.6563,323,4.96,7536,3,2,92.86,1,6,9,13,19.77,0,0,3,535,20.1928,00:02:15,0.345
10-06-2019,1.316,2446,6.78,33456,67,4,99.69,1,27,19,320,36.11,1,2,-8,3219,297.1865,00:05:32,3.147
11-06-2019,1.3455,1829,5.47,32014,14,11,98.28,2,9,17,114,29.49,0,0,8,2461,182.2616,00:04:26,1.58
12-06-2019,1.2996,1629,5.76,27800,9,3,100,0,15,34,64,26.28,0,0,19,2117,100.3671,00:02:50,0.963
13-06-2019,1.2972,1356,5.6,23682,10,4,94.12,2,7,22,32,27.09,0,0,15,1759,81.425,00:02:46,0.62
14-06-2019,1.2823,5038,7.77,62232,65,24,97.8,11,27,41,489,39.47,1,1,14,6460,299.1425,00:02:46,3.544
15-06-2019,1.2347,4878,6.93,68521,27,12,97.46,7,14,33,269,36.95,0,0,19,6023,254.4412,00:02:32,2.491
16-06-2019,1.3134,2843,4.86,59420,14,13,96.48,5,6,33,137,32.51,0,0,27,3734,152.7848,00:02:27,1.704
